Title,Data Type,Latitude/Longitude,Last updated,Station ID,Water level (MLLW),Water level (MHHW),Event
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-04 11:06:00,8726384,3.825,,Debby
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-07 18:12:00,8726384,1.165,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-11 11:42:00,8726384,1.079,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-23 14:12:00,8726384,1.257,-0.919,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-16 02:12:00,8726384,2.034,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-08 22:12:00,8726384,2.904,0.728,Milton
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-10 08:48:00,8726384,1.148,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-06 08:54:00,8726384,2.766,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-29 06:12:00,8726384,2.982,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-04 12:42:00,8726384,3.809,,Debby
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-23 00:36:00,8726384,3.353,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-10 10:48:00,8726384,1.063,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-26 16:42:00,8726384,1.493,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-02 05:06:00,8726384,1.23,-0.945,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-30 02:36:00,8726384,1.955,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-20 09:06:00,8726384,3.14,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-11 11:54:00,8726384,1.112,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-05 19:12:00,8726384,1.476,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-30 03:36:00,8726384,2.077,-0.098,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-21 05:00:00,8726384,1.677,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-22 00:12:00,8726384,3.146,0.971,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-03 19:18:00,8726384,2.11,-0.066,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-03 17:36:00,8726384,1.135,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-19 15:06:00,8726384,2.572,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-17 12:54:00,8726384,1.827,-0.348,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-19 05:42:00,8726384,1.181,,Non-hurricane
